city,state_id,state_name,county_name,lat,lng,zips,id
Groom,TX,Texas,Carson,35.2050,-101.1071,79039,1840021756
Camargo,IL,Illinois,Douglas,39.7991,-88.1671,61919,1840010589
Hampton,FL,Florida,Bradford,29.8643,-82.1380,32044,1840014006
Shishmaref,AK,Alaska,Nome,66.2372,-166.1027,99772,1840023498
Mount Savage,MD,Maryland,Allegany,39.6966,-78.8768,21545,1840024430
Prairie Farm,WI,Wisconsin,Barron,45.2368,-91.9804,54762,1840002074
Mamanasco Lake,CT,Connecticut,Western Connecticut,41.3189,-73.5253,06877,1840151855
Tipton,PA,Pennsylvania,Blair,40.6374,-78.2948,16684 16686,1840005377
Kwigillingok,AK,Alaska,Bethel,59.8767,-163.1715,99622,1840023336
Adell,WI,Wisconsin,Sheboygan,43.6212,-87.9482,53001,1840002622
Naplate,IL,Illinois,LaSalle,41.3316,-88.8802,61350,1840011538
LeRoy,KS,Kansas,Coffey,38.0863,-95.6331,66857,1840008658
Orland,IN,Indiana,Steuben,41.7305,-85.1722,46776,1840009250
Strathmoor Manor,KY,Kentucky,Jefferson,38.2190,-85.6836,40205,1840030589
Roeville,FL,Florida,Santa Rosa,30.6836,-86.9927,32570,1840025119
Indianola,NE,Nebraska,Red Willow,40.2346,-100.4198,69034,1840008370
Bellwood,NE,Nebraska,Butler,41.3418,-97.2398,68624,1840011621
Crystal Lakes,MO,Missouri,Ray,39.3606,-94.1874,64024,1840007360
Society Hill,SC,South Carolina,Darlington,34.5098,-79.8539,29593,1840017938
Pitkin,LA,Louisiana,Vernon,30.9344,-92.9267,70656,1840025974
Gordon,TX,Texas,Palo Pinto,32.5455,-98.3672,76453,1840020687
Keams Canyon,AZ,Arizona,Navajo,35.8229,-110.2011,86034,1840017659
Urbanna,VA,Virginia,Middlesex,37.6395,-76.5747,23175,1840003850
Bloxom,VA,Virginia,Accomack,37.8292,-75.6214,23308,1840006322
Kandiyohi,MN,Minnesota,Kandiyohi,45.1315,-94.9328,56251,1840007802
New Augusta,MS,Mississippi,Perry,31.2036,-89.0272,39462,1840017107
Westcliffe,CO,Colorado,Custer,38.1339,-105.4654,81252,1840022525
Chiloquin,OR,Oregon,Klamath,42.5764,-121.8677,97624,1840018651
